Date,Steps,Time active,Distance ,Burned Cal,Slept Time,Awake Time,Deep Sleep,Time awake,Sleep Score,%Better sleep than users,Slept earlier %,Longer deep sleep %,Feel
12/31/2018,6065,79,4.5,165,,,,,,,,,
1/1/2019,6003,93,4.5,181, 1:38:00 AM,9:03:00 AM,153,0,89,88,22,73,Sleepy
1/2/2019,8617,110,6.6,261,12:21:00 AM,5:59:00 AM,188,2,80,61,49,90,Exhausted
1/3/2019,10218,133,7.8,300,12:14:00 AM,5:59:00 AM,110,0,84,74,54,41,Sleepy
1/4/2019,8919,104,6.9,282,11:22:00 PM,6:00:00 AM,175,0,93,95,77,86,Sleepy
1/5/2019,7280,104,5.4,212,12:04:00 AM,9:41:00 AM,245,0,89,88,59,99,Good
1/6/2019,6892,92,5.4,225,12:34:00 AM,9:10:00 AM,245,2,89,88,45,99,Good
1/7/2019,7248,93,5.5,228,11:19:00 PM,6:00:00 AM,186,0,94,97,80,90,Good
1/8/2019,9596,119,7.3,291,11:17:00 PM,5:59:00 AM,167,0,94,97,80,81,Good
1/9/2019,8852,117,6.8,275,11:15:00 PM,6:09:00 AM,209,0,95,97,80,95,Good
1/10/2019,9686,126,7.4,292,12:13:00 AM,5:44:00 AM,147,0,83,71,54,69,Good
